Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Timestamp
0.40994055,-0.79576695,9.93985263,0.05976,-1.22256,-0.30456,0
0.37618074,-0.82952676,9.94467546,0.04392,-1.21176,-0.31824,0
0.42923187,-0.81505827,9.8868015,0.05616,-1.20528,-0.32328,0
0.40994055,-0.85364091,9.93020697,0.0468,-1.224,-0.32256,0
0.44370036,-0.87775506,9.94467546,0.0468,-1.22184,-0.32832,0
0.43887753,-0.88257789,9.96396678,0.03528,-1.22184,-0.34416,0
0.45816885,-0.83917242,9.90609282,0.04536,-1.2024,-0.32616,0
0.46299168,-0.86328657,9.88197867,0.04248,-1.2132,-0.33192,0
0.48710583,-0.88257789,9.90609282,0.04104,-1.206,-0.33192,0
0.45334602,-0.84881808,9.89644716,0.05544,-1.1988,-0.33984,0
0.44852319,-0.89222355,9.90126999,0.04752,-1.20528,-0.36576,0
0.44370036,-0.84399525,9.90609282,0.05904,-1.20312,-0.37872,0
0.47263734,-0.79576695,9.93020697,0.07704,-1.19664,-0.20232,0
0.40029489,-0.87293223,9.95432112,0.06624,-1.20168,-0.37728,0
0.40029489,-0.80058978,9.91573848,0.0684,-1.19952,-0.39744,0
0.4340547,-0.82470393,9.86268735,0.07272,-1.18728,-0.4068,0
0.39547206,-0.82470393,9.9350298,0.03888,-1.17,-0.38448,0
0.36653508,-0.75718431,9.86268735,0.05544,-1.2096,-0.37728,0
0.40029489,-0.73789299,9.93985263,0.05976,-1.19736,-0.37728,0
0.38100357,-0.72824733,9.94467546,0.04176,-1.18584,-0.36864,0
0.39064923,-0.73789299,9.93985263,0.04104,-1.19376,-0.3672,0
0.4340547,-0.71377884,9.92056131,0.04968,-1.19952,-0.37368,0
0.40511772,-0.73307016,9.82892754,0.04536,-1.18584,-0.35064,0
0.35688942,-0.75236148,9.94467546,0.04104,-1.16928,-0.3384,0
0.41958621,-0.75236148,9.92056131,0.0252,-1.1844,-0.33048,0
0.40029489,-0.78129846,9.93020697,0.03096,-1.18944,-0.30456,0
0.40029489,-0.80541261,9.90609282,0.05184,-1.17216,-0.29448,0
0.37135791,-0.84399525,9.94467546,0.03816,-1.18872,-0.30816,0
0.37618074,-0.80541261,9.93020697,0.04968,-1.18944,-0.29376,0
0.34724376,-0.87293223,9.96396678,0.04032,-1.1664,-0.30744,0
0.34242093,-0.84399525,9.89162433,0.06264,-1.17432,-0.33552,0
0.40029489,-0.80541261,9.90126999,0.06048,-1.17648,-0.32976,0
0.37135791,-0.87775506,9.96396678,0.03168,-1.18944,-0.36072,0
0.31348395,-0.86328657,9.94949829,0.0504,-1.1952,-0.37512,0
0.31830678,-0.84881808,9.89162433,0.04968,-1.18008,-0.41328,0
0.32312961,-0.80541261,9.89644716,0.04824,-1.1844,-0.40104,0
0.2893698,-0.83917242,9.94949829,0.02952,-1.18584,-0.396,0
0.27007848,-0.83917242,9.90609282,0.06408,-1.18152,-0.38952,0
0.2893698,-0.79094412,9.98808093,0.0648,-1.1844,-0.37296,0
0.27007848,-0.86328657,9.93985263,0.0828,-1.2096,-0.38304,0
0.27007848,-0.82470393,9.91091565,0.05832,-1.1916,-0.36,0
0.31348395,-0.79576695,9.98808093,0.0792,-1.18512,-0.36144,0
0.31830678,-0.79576695,9.95432112,0.06048,-1.20384,-0.3456,0
0.31830678,-0.74271582,9.9832581,0.03744,-1.1988,-0.36,0
0.29419263,-0.79576695,9.91573848,0.05256,-1.21752,-0.35856,0
0.29419263,-0.76200714,9.9832581,0.04824,-1.224,-0.37296,0
0.31348395,-0.76200714,9.95914395,0.0576,-1.22184,-0.19368,0
0.28454697,-0.82952676,9.92056131,0.05472,-1.20096,-0.35712,0
0.34724376,-0.78612129,9.93020697,0.04896,-1.2132,-0.35496,0
0.37135791,-0.78129846,9.91573848,0.05112,-1.22904,-0.33696,0
0.32795244,-0.7716528,9.96396678,0.04608,-1.21968,-0.33264,0
0.35688942,-0.88740072,9.96878961,0.04104,-1.21752,-0.33912,0
0.31830678,-0.80058978,9.92056131,0.06048,-1.224,-0.31824,0
0.39064923,-0.83434959,9.89162433,0.04104,-1.22256,-0.32832,0
0.31348395,-0.82952676,9.93985263,0.05112,-1.2132,-0.3312,0
0.36653508,-0.80058978,9.91091565,0.06192,-1.2204,-0.33552,0
0.35206659,-0.81505827,9.94949829,0.05688,-1.22112,-0.35136,0
0.3375981,-0.8198811,9.91091565,0.05328,-1.22544,-0.36576,0
0.36171225,-0.82470393,9.93985263,0.05112,-1.22616,-0.3888,0
0.35206659,-0.80058978,9.89644716,0.06336,-1.22688,-0.40536,0
0.33277527,-0.85364091,9.94467546,0.07344,-1.23984,-0.40968,0
0.35688942,-0.84399525,9.94949829,0.0576,-1.23408,-0.40248,0
0.39064923,-0.85846374,9.95432112,0.05688,-1.23192,-0.4032,0
0.36171225,-0.83434959,9.9350298,0.0684,-1.22544,-0.41544,0
0.4340547,-0.78612129,9.93020697,0.08064,-1.25208,-0.39888,0
0.40511772,-0.80058978,9.91091565,0.07704,-1.21752,-0.38592,0
0.3858264,-0.84399525,9.96396678,0.07128,-1.2276,-0.37656,0
0.30866112,-0.7716528,9.95432112,0.07128,-1.2276,-0.37152,0
0.40029489,-0.7716528,9.92538414,0.07992,-1.24416,-0.37656,0
0.42440904,-0.76200714,9.92056131,0.0576,-1.2348,-0.38088,0
0.43887753,-0.78129846,9.94467546,0.03528,-1.20312,-0.378,0
0.40511772,-0.74753865,9.89644716,0.06552,-1.20672,-0.36216,0
0.37618074,-0.77647563,9.89162433,0.07056,-1.21248,-0.3708,0
0.39547206,-0.82952676,9.97361244,0.0648,-1.23264,-0.36216,0
0.43887753,-0.82952676,9.89162433,0.0648,-1.24272,-0.35352,0
0.40994055,-0.86328657,9.95914395,0.0648,-1.22256,-0.33048,0
0.39064923,-0.87293223,9.97361244,0.06192,-1.21464,-0.324,0
0.39547206,-0.8681094,9.93985263,0.03672,-1.22976,-0.3276,0
0.49192866,-0.83434959,9.9350298,0.03384,-1.2276,-0.3492,0
0.40994055,-0.83917242,9.9350298,0.06408,-1.20744,-0.3492,0
0.35688942,-0.89704638,9.99772659,0.04752,-1.20744,-0.51984,0
0.36171225,-0.85364091,9.94949829,0.05256,-1.1988,-0.38088,0
0.37618074,-0.86328657,9.92538414,0.054,-1.2096,-0.38088,0
0.40029489,-0.83917242,9.94949829,0.05112,-1.21608,-0.39384,0
0.41476338,-0.79576695,9.96396678,0.05328,-1.1772,-0.4068,0
0.41958621,-0.81505827,9.89162433,0.05904,-1.18728,-0.4032,0
0.4340547,-0.81505827,9.97361244,0.03744,-1.18584,-0.4032,0
0.3375981,-0.81023544,9.8868015,0.05256,-1.19088,-0.39744,0
0.32312961,-0.81505827,9.8868015,0.05832,-1.20024,-0.38304,0
0.3858264,-0.78129846,9.91091565,0.04896,-1.1808,-0.37512,0
0.3858264,-0.74271582,9.8868015,0.06696,-1.1988,-0.2088,0
0.41958621,-0.75236148,9.9350298,0.06984,-1.18512,-0.38088,0
0.35206659,-0.68484186,9.87233301,0.05832,-1.20312,-0.36648,0
0.3858264,-0.73307016,9.92538414,0.04968,-1.19736,-0.37008,0
0.30866112,-0.75236148,9.96878961,0.0612,-1.18224,-0.37296,0
0.36653508,-0.7716528,9.93985263,0.04824,-1.19664,-0.3816,0
0.3375981,-0.75718431,9.91573848,0.03672,-1.18728,-0.3528,0
0.38100357,-0.7234245,9.87233301,0.02808,-1.17936,-0.18864,0
0.37135791,-0.78129846,9.9350298,0.03744,-1.21464,-0.34776,0
0.35688942,-0.7716528,9.9350298,0.05184,-1.21032,-0.33336,0
0.35688942,-0.78612129,9.93985263,0.04104,-1.20024,-0.31608,0
0.34724376,-0.77647563,9.85786452,0.04824,-1.20816,-0.31392,0
0.33277527,-0.8198811,9.8868015,0.0252,-1.19232,-0.30456,0
0.32795244,-0.77647563,9.89644716,0.04752,-1.1844,-0.29952,0
0.31348395,-0.81023544,9.96878961,0.04104,-1.18728,-0.29664,0
0.34242093,-0.83434959,9.87715584,0.03384,-1.21896,-0.32904,0
0.34242093,-0.81023544,9.90126999,0.05688,-1.23264,-0.33048,0
0.31348395,-0.84881808,9.91573848,0.054,-1.20456,-0.3492,0
0.31348395,-0.82952676,9.89644716,0.03744,-1.20672,-0.37512,0
0.36171225,-0.82470393,9.90609282,0.05472,-1.19808,-0.37008,0
0.38100357,-0.81023544,9.94467546,0.03672,-1.20744,-0.38376,0
0.34242093,-0.80058978,9.88197867,0.0504,-1.206,-0.36504,0
0.32312961,-0.79576695,9.96878961,0.04248,-1.20312,-0.36504,0
0.34724376,-0.83434959,9.91573848,0.05904,-1.2204,-0.38088,0
0.29901546,-0.83917242,9.91573848,0.05832,-1.20816,-0.19728,0
0.32312961,-0.85364091,9.94467546,0.05256,-1.2096,-0.378,0
0.36653508,-0.76682997,9.93985263,0.06408,-1.2168,-0.39168,0
0.33277527,-0.79094412,9.87233301,0.05472,-1.21032,-0.36144,0
0.38100357,-0.74753865,9.87715584,0.05328,-1.23552,-0.38088,0
0.33277527,-0.79094412,9.89644716,0.0468,-1.22688,-0.36432,0
0.34242093,-0.75718431,9.94949829,0.05472,-1.20384,-0.35856,0
0.33277527,-0.74753865,9.93020697,0.04248,-1.21392,-0.35208,0
0.35688942,-0.75718431,9.94949829,0.05184,-1.22112,-0.33624,0
0.3858264,-0.78129846,9.94467546,0.054,-1.24704,-0.34848,0
0.37618074,-0.75718431,9.90126999,0.054,-1.22904,-0.35856,0
0.3858264,-0.85364091,9.93020697,0.04752,-1.23048,-0.32184,0
0.38100357,-0.83917242,9.92056131,0.05472,-1.23696,-0.32904,0
0.45334602,-0.87293223,9.89162433,0.06696,-1.22328,-0.31104,0
0.39547206,-0.87293223,9.9832581,0.03096,-1.23552,-0.3204,0
0.42440904,-0.8681094,9.94949829,0.03168,-1.22472,-0.32112,0
0.42923187,-0.87293223,9.94467546,0.07128,-1.19736,-0.3384,0
0.42440904,-0.87293223,9.94949829,0.0648,-1.2168,-0.33336,0
0.47263734,-0.8681094,9.90609282,0.06984,-1.21104,-0.34488,0
0.41958621,-0.88257789,9.88197867,0.06192,-1.22544,-0.35568,0
0.38100357,-0.85364091,9.89644716,0.05184,-1.21752,-0.36144,0
0.41958621,-0.84881808,9.89644716,0.0648,-1.21248,-0.37728,0
0.37135791,-0.84881808,9.90126999,0.07704,-1.1916,-0.54072,0
0.38100357,-0.85364091,9.91091565,0.05184,-1.21824,-0.38736,0
0.40029489,-0.83434959,9.93985263,0.0648,-1.20024,-0.40176,0
0.31830678,-0.81023544,9.92538414,0.06192,-1.20888,-0.39456,0
0.40029489,-0.77647563,9.90609282,0.08352,-1.20528,-0.40968,0
0.35688942,-0.81023544,9.87715584,0.06912,-1.18656,-0.3996,0
0.39064923,-0.81023544,9.8868015,0.08136,-1.21536,-0.38232,0
0.41476338,-0.80541261,9.87233301,0.06336,-1.20096,-0.38952,0
0.41476338,-0.8198811,9.91091565,0.05616,-1.2024,-0.37008,0
0.3858264,-0.80058978,9.86751018,0.0468,-1.18152,-0.36,0
0.44852319,-0.79576695,9.94949829,0.0684,-1.20168,-0.3528,0
0.37135791,-0.79576695,9.86751018,0.04176,-1.21752,-0.33912,0
0.39547206,-0.76682997,9.8868015,0.03744,-1.21392,-0.36072,0
0.40511772,-0.80058978,9.93985263,0.04752,-1.1844,-0.3456,0
0.37618074,-0.79576695,9.93020697,0.05688,-1.19448,-0.34992,0
0.42440904,-0.79094412,9.90126999,0.05904,-1.19592,-0.35208,0
0.40029489,-0.77647563,9.94467546,0.04536,-1.19808,-0.34632,0
0.35688942,-0.83917242,9.94949829,0.0576,-1.20024,-0.33408,0
0.36653508,-0.82470393,9.91573848,0.05472,-1.206,-0.34848,0
0.35688942,-0.80058978,9.95432112,0.05472,-1.18584,-0.33984,0
0.35688942,-0.81023544,9.92538414,0.04464,-1.21104,-0.36,0
0.30866112,-0.82952676,9.93985263,0.04536,-1.20528,-0.3672,0
0.30383829,-0.81023544,9.89644716,0.05688,-1.2096,-0.378,0
0.32795244,-0.8198811,9.90609282,0.06624,-1.19448,-0.37728,0
0.39064923,-0.78129846,9.9350298,0.06552,-1.19088,-0.39096,0
0.35206659,-0.77647563,9.95914395,0.06768,-1.18584,-0.38808,0
0.34724376,-0.75236148,9.94467546,0.06696,-1.1916,-0.38592,0
0.35206659,-0.75718431,9.91091565,0.08784,-1.20744,-0.378,0
0.37618074,-0.8198811,9.84821886,0.07416,-1.18728,-0.39096,0
0.2893698,-0.81505827,9.86751018,0.04608,-1.206,-0.40032,0
0.33277527,-0.78129846,9.92056131,0.0684,-1.19304,-0.37512,0
0.33277527,-0.81505827,9.89162433,0.0468,-1.20312,-0.37944,0
0.3858264,-0.73307016,9.91091565,0.06768,-1.21536,-0.35928,0
0.42440904,-0.77647563,9.9350298,0.0576,-1.20096,-0.37368,0
0.35206659,-0.78129846,9.87233301,0.0576,-1.20168,-0.19512,0
0.34242093,-0.79094412,9.91573848,0.0684,-1.21896,-0.35856,0
0.3375981,-0.73789299,9.96878961,0.04752,-1.2276,-0.35784,0
