Timestamp,Yaw,Pitch,Roll,Qtn[0], Qtn[1], Qtn[2], Qtn[3],Rate X,Rate Y,Rate Z,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Temp,Pres,dTime,dTheta X,dTheta Y,dTheta Z,dVel X,dVel Y,dVel Z,MagNed X,MagNed Y,MagNed Z,AccelNed X,AccelNed Y,AccelNed Z,LinearAccel X,LinearAccel Y,LinearAccel Z,LinearAccelNed X,LinearAccelNed Y,LinearAccelNed Z,Amplitude,Distance,Light 1,Light 2,Light 3,Light 4,Comments
359.566,54.107,15.1144,91.0117,0.587833,0.403702,0.232439,0.661399,-0.00338572,0.0014207,0.00196363,2.58203,-9.45837,0.218513,-0.242412,0.509839,-0.0862585,31.61,99.027,0.024999,-0.00911612,0.0110878,0.00852926,0.0644567,-0.236707,0.00515237,-0.12162,-0.036302,0.556804,0.0568586,-0.00924157,-9.80674,0.0283414,-0.00489287,0.0515744,0.0568586,-0.00924157,-0.0129919,,,,,,,
359.591,54.1121,15.1098,91.0046,0.58779,0.403691,0.23252,0.661416,-0.0071976,0.00898115,0.00218434,2.51727,-9.45323,0.159225,-0.24335,0.512937,-0.0840721,31.61,99.038,0.024999,-0.00995562,0.00941788,0.0106382,0.0639749,-0.236513,0.00475285,-0.119944,-0.0377151,0.559985,-0.0253925,-0.0239265,-9.78388,-0.0356567,0.000477737,-0.00655579,-0.0253925,-0.0239265,0.00986671,,,,,,,
359.617,54.1121,15.1098,91.0046,0.58779,0.403691,0.23252,0.661416,-0.0071976,0.00898115,0.00218434,2.51727,-9.45323,0.159225,-0.24335,0.512937,-0.0840721,31.61,99.038,0.024999,-0.00995562,0.00941788,0.0106382,0.0639749,-0.236513,0.00475285,-0.119944,-0.0377151,0.559985,-0.0253925,-0.0239265,-9.78388,-0.0356567,0.000477737,-0.00655579,-0.0253925,-0.0239265,0.00986671,,,,,,,
359.642,54.1221,15.1059,90.9994,0.587738,0.403713,0.232619,0.661414,-0.00521997,0.00675135,0.00242452,2.51315,-9.44054,0.143292,-0.243389,0.509845,-0.089707,31.61,99.027,0.025,-0.0121176,0.013648,0.0102926,0.0632831,-0.236739,0.0044002,-0.125086,-0.0350693,0.557091,-0.0373913,-0.0151827,-9.7703,-0.0391442,0.0133466,-0.0216351,-0.0373913,-0.0151827,0.0234489,,,,,,,
359.667,54.1221,15.1059,90.9994,0.587738,0.403713,0.232619,0.661414,-0.00521997,0.00675135,0.00242452,2.51315,-9.44054,0.143292,-0.243389,0.509845,-0.089707,31.61,99.027,0.025,-0.0121176,0.013648,0.0102926,0.0632831,-0.236739,0.0044002,-0.125086,-0.0350693,0.557091,-0.0373913,-0.0151827,-9.7703,-0.0391442,0.0133466,-0.0216351,-0.0373913,-0.0151827,0.0234489,,,,,,,
359.693,54.1363,15.0995,90.9887,0.587649,0.403731,0.232776,0.661427,-0.00330579,0.00717987,0.00131552,2.53822,-9.47751,0.130249,-0.24435,0.510897,-0.0886336,31.615,99.027,0.025001,-0.00914234,0.0111894,0.00957243,0.0633677,-0.237015,0.00296262,-0.124695,-0.036271,0.558313,-0.0378281,0.00453274,-9.8123,-0.0130175,-0.023299,-0.0329148,-0.0378281,0.00453274,-0.0185518,,,,,,,
359.718,54.1363,15.0995,90.9887,0.587649,0.403731,0.232776,0.661427,-0.00330579,0.00717987,0.00131552,2.53822,-9.47751,0.130249,-0.24435,0.510897,-0.0886336,31.615,99.027,0.025001,-0.00914234,0.0111894,0.00957243,0.0633677,-0.237015,0.00296262,-0.124695,-0.036271,0.558313,-0.0378281,0.00453274,-9.8123,-0.0130175,-0.023299,-0.0329148,-0.0378281,0.00453274,-0.0185518,,,,,,,
359.743,54.1407,15.0944,90.9815,0.587609,0.403714,0.232857,0.661444,-0.00214769,6.68E-05,0.000796206,2.55703,-9.4889,0.107588,-0.24333,0.514962,-0.0863578,31.61,99.027,0.025001,-0.00398911,-0.000187808,0.0078539,0.0630434,-0.237114,0.00307674,-0.121683,-0.0360113,0.561915,-0.0459167,0.0303214,-9.82783,0.00663242,-0.0344503,-0.0543935,-0.0459167,0.0303214,-0.0340843,,,,,,,
359.768,55.1029,15.217,90.9968,0.583854,0.409278,0.237632,0.65965,-0.262235,0.799207,-0.183173,32.4604,-129.42,4.00513,-0.258215,0.486846,-0.0777541,31.61,99.016,0.025001,-0.21936,0.907724,-0.0954954,0.88763,-3.3152,0.0615465,-0.126064,-0.0596438,0.538785,-0.0843296,-3.18507,-133.451,29.8898,-119.972,3.84073,-0.0843296,-3.18507,-123.657,,,,,,,
359.794,55.1029,15.217,90.9968,0.583854,0.409278,0.237632,0.65965,-0.262235,0.799207,-0.183173,32.4604,-129.42,4.00513,-0.258215,0.486846,-0.0777541,31.61,99.016,0.025001,-0.21936,0.907724,-0.0954954,0.88763,-3.3152,0.0615465,-0.126064,-0.0596438,0.538785,-0.0843296,-3.18507,-133.451,29.8898,-119.972,3.84073,-0.0843296,-3.18507,-123.657,,,,,,,
