Timestamp,Yaw,Pitch,Roll,Qtn[0], Qtn[1], Qtn[2], Qtn[3],Rate X,Rate Y,Rate Z,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Temp,Pres,dTime,dTheta X,dTheta Y,dTheta Z,dVel X,dVel Y,dVel Z,MagNed X,MagNed Y,MagNed Z,AccelNed X,AccelNed Y,AccelNed Z,LinearAccel X,LinearAccel Y,LinearAccel Z,LinearAccelNed X,LinearAccelNed Y,LinearAccelNed Z,Amplitude,Distance,Light 1,Light 2,Light 3,Light 4,Comments
512.695,-139.766,0.419919,-178.985,0.343889,-0.938961,0.00705416,-0.00648621,-7.34E-05,-0.00324323,-0.000234605,0.0602179,0.210815,10.0063,0.965797,0.634102,-0.378382,43.96,101.002,0.025,0.00242239,-0.00119894,0.00884202,0.00111976,0.00553895,0.250644,-1.15317,-0.136412,0.360006,-0.0116653,0.0341224,-10.0086,-0.0115594,0.0373853,0.214305,-0.0116653,0.0341224,-0.214843,0,1000,0,0,0,0,
512.72,-139.767,0.423469,-178.986,0.343882,-0.938964,0.00703429,-0.00651186,1.04E-05,-0.00380961,-0.000746021,0.0316346,0.160115,9.9893,0.963225,0.640737,-0.377194,43.965,101.014,0.024999,0.00233791,-0.00111394,0.00791746,0.00123924,0.00406363,0.250471,-1.15549,-0.1297,0.358672,0.0429496,0.0145789,-9.99054,-0.0407497,-0.013122,0.197359,0.0429496,0.0145789,-0.19679,0,1000,0,0,0,0,
512.745,-139.762,0.430245,-178.989,0.343926,-0.938948,0.00699321,-0.00656022,-0.00109675,-0.00418904,-0.00243265,0.121004,0.133626,9.97928,0.967042,0.635427,-0.379775,43.97,101.002,0.025001,0.00233427,-0.00313736,0.00730359,0.00173856,0.00378564,0.250095,-1.15503,-0.136344,0.361232,-0.00771666,-0.0621834,-9.98071,0.0474617,-0.0391844,0.187337,-0.00771666,-0.0621834,-0.186968,0,1000,0,0,0,0,
512.77,-139.757,0.436916,-178.991,0.343962,-0.938935,0.0069572,-0.00660939,0.000529458,-0.00388567,-0.00193603,0.0625509,0.127556,10.0364,0.964486,0.640742,-0.377149,43.95,101.01,0.025,0.00385092,-0.00229372,0.00797903,0.00245108,0.00302364,0.250718,-1.15648,-0.130785,0.358441,0.0424779,-0.028536,-10.0372,-0.0121319,-0.0449261,0.244415,0.0424779,-0.028536,-0.243486,0,1000,0,0,0,0,
512.796,-139.757,0.44258,-178.993,0.343966,-0.938933,0.00691855,-0.00664791,-0.000533111,-0.00382916,-0.00080217,0.165297,0.105837,9.99818,0.964456,0.644708,-0.38147,43.95,100.997,0.024999,0.00359007,-0.000989889,0.00789977,0.00293722,0.00290943,0.250478,-1.15911,-0.127748,0.362625,-0.022119,-0.110174,-9.99948,0.0896459,-0.0661943,0.20624,-0.022119,-0.110174,-0.205731,0,1000,0,0,0,0,
512.821,-139.758,0.449564,-178.995,0.343953,-0.938938,0.00688783,-0.00670144,-3.47E-05,-0.002364,-0.000707454,0.134319,0.203813,9.98196,0.964488,0.639382,-0.384185,43.95,100.997,0.025,0.00452384,-0.00151383,0.00881723,0.00385709,0.00390974,0.250351,-1.15577,-0.131816,0.365328,-0.0612359,-0.0142937,-9.98475,0.0574739,0.0319874,0.190026,-0.0612359,-0.0142937,-0.191003,0,1000,0,0,0,0,
512.846,-139.755,0.454545,-178.995,0.343983,-0.938927,0.0068683,-0.00674088,0.000665258,-0.00322967,-0.000429374,0.161565,0.146311,10.0555,0.96699,0.643404,-0.378527,43.95,101.01,0.025001,0.00457209,0.000538221,0.00991481,0.00465665,0.00406738,0.250367,-1.16019,-0.130507,0.359503,-0.0430127,-0.0757647,-10.0574,0.083869,-0.025424,0.263521,-0.0430127,-0.0757647,-0.263692,0,1000,0,0,0,0,
512.872,-139.755,0.457717,-178.995,0.343983,-0.938927,0.00685665,-0.00676609,0.000377344,-0.000234908,6.46E-05,0.141332,0.225203,10.019,0.96574,0.640721,-0.382754,43.935,100.997,0.024999,0.0042392,0.00188388,0.0103827,0.00347752,0.00491848,0.250149,-1.15759,-0.131727,0.363736,-0.0787616,-0.00178399,-10.0223,0.0630937,0.0535131,0.227118,-0.0787616,-0.00178399,-0.228518,0,1000,0,0,0,0,
512.897,-139.756,0.459093,-178.995,0.343971,-0.938931,0.0068548,-0.00677808,-0.000222164,6.46E-05,-0.000552048,0.154844,0.170062,10.059,0.968232,0.644694,-0.388397,43.95,101.01,0.025001,0.00415036,0.00354759,0.0100841,0.00430054,0.00473444,0.250923,-1.16217,-0.130232,0.369262,-0.0525513,-0.0528073,-10.0614,0.0763703,-0.00167402,0.267096,-0.0525513,-0.0528073,-0.267629,0,1000,0,0,0,0,
512.922,-139.754,0.460189,-178.997,0.34399,-0.938924,0.00683879,-0.0067826,0.000825379,0.00036998,0.000495347,0.184024,0.163257,10.0449,0.968271,0.640759,-0.377014,43.95,101.01,0.024999,0.00385882,0.00466778,0.0102083,0.00392401,0.00434012,0.25047,-1.15945,-0.133415,0.357949,-0.0706991,-0.0764105,-10.0474,0.105364,-0.00821695,0.252985,-0.0706991,-0.0764105,-0.25364,0,1000,0,0,0,0,
